date,customer_id,category,sub_category,price
2018-11-18,1,Accessories,Locks,37.2
2019-01-31,1,Accessories,Locks,35.7
2019-04-15,1,Riders gears,Shoes,24.7
2019-06-28,1,Riders gears,Shoes,79.5
2019-09-10,1,Accessories,GPS,135.8
2019-11-23,1,Riders gears,Gloves,20.0
2020-02-05,1,Accessories,Pumps,41.0
2020-04-19,1,Accessories,Pumps,34.7
2020-07-02,1,Accessories,Locks,35.4
2020-09-14,1,Riders gears,Shoes,54.5
2020-11-27,1,Accessories,Locks,35.4
2021-02-09,1,Riders gears,Jackets,201.1
2021-04-24,1,Accessories,Pumps,34.8
2021-07-07,1,Accessories,Pumps,34.4
2021-09-19,1,Riders gears,Helmets,98.5
2021-12-02,1,Accessories,Locks,43.5
2022-02-14,1,Bikes,Mountain Bikes,1070.4
2022-04-29,1,Accessories,Locks,41.9
2022-07-12,1,Riders gears,Helmets,116.0
2022-09-24,1,Bikes,Roads,4284.1
2022-12-07,1,Accessories,Locks,39.1
2018-11-25,2,Riders gears,Gloves,24.5
2019-01-25,2,Accessories,Locks,43.2
2019-03-27,2,Accessories,GPS,100.5
2019-05-27,2,Riders gears,Jackets,100.3
2019-07-27,2,Accessories,GPS,180.0
2019-09-26,2,Accessories,Locks,45.1
2019-11-26,2,Riders gears,Gloves,15.2
2020-01-26,2,Accessories,Pumps,42.8
2020-03-27,2,Bikes,Mountain Bikes,860.0
2020-05-27,2,Bikes,Mountain Bikes,592.4
2020-07-27,2,Accessories,Locks,61.6
2020-09-26,2,Accessories,Locks,37.9
2020-11-26,2,Riders gears,Gloves,14.1
2021-01-26,2,Accessories,Pumps,39.9
2021-03-28,2,Riders gears,Helmets,131.7
2021-05-28,2,Riders gears,Shoes,51.7
2021-07-28,2,Riders gears,Gloves,10.0
2021-09-27,2,Riders gears,Jackets,43.1
2021-11-27,2,Accessories,GPS,158.0
2022-01-27,2,Riders gears,Jackets,137.9
2022-03-29,2,Riders gears,Gloves,18.0
2022-05-29,2,Riders gears,Jackets,47.1
2022-07-29,2,Riders gears,Shoes,47.3
2022-09-28,2,Riders gears,Helmets,171.0
2022-11-28,2,Riders gears,Shoes,91.1
2023-01-28,2,Bikes,Mountain Bikes,948.9
2021-09-14,3,Bikes,Mountain Bikes,1084.8
2020-03-20,4,Accessories,Locks,53.2
2020-07-01,4,Bikes,Mountain Bikes,1029.5
2020-10-12,4,Accessories,Locks,21.1
2021-01-23,4,Accessories,Locks,52.4
2021-05-06,4,Riders gears,Jackets,149.9
2021-08-17,4,Riders gears,Jackets,123.5
2021-11-28,4,Accessories,Locks,38.9
2022-03-11,4,Accessories,Locks,41.0
2022-06-22,4,Riders gears,Shoes,10.0
2022-10-03,4,Bikes,Mountain Bikes,938.2
2023-01-14,4,Accessories,GPS,184.0
2020-02-09,5,Riders gears,Gloves,12.4
2020-06-11,5,Accessories,Locks,45.7
2020-10-12,5,Riders gears,Helmets,163.8
2021-02-12,5,Riders gears,Gloves,24.1
2021-06-15,5,Riders gears,Jackets,76.2
2021-10-16,5,Riders gears,Helmets,161.4
2022-02-16,5,Riders gears,Jackets,121.5
2022-06-19,5,Riders gears,Jackets,16.6
2022-10-20,5,Riders gears,Helmets,167.8
2020-08-25,6,Riders gears,Jackets,25.8
2020-10-04,6,Riders gears,Jackets,72.1
2020-11-13,6,Riders gears,Gloves,25.6
2020-12-23,6,Riders gears,Gloves,24.2
2021-02-01,6,Riders gears,Gloves,30.3
2021-03-13,6,Accessories,Locks,43.0
2021-04-22,6,Accessories,Locks,41.1
2021-06-01,6,Riders gears,Gloves,19.3
2021-07-11,6,Riders gears,Shoes,32.4
2021-08-20,6,Riders gears,Jackets,105.7
2021-09-29,6,Riders gears,Shoes,74.9
2021-11-08,6,Riders gears,Shoes,69.9
2021-12-18,6,Accessories,Locks,40.2
2022-01-27,6,Accessories,Pumps,39.5
2022-03-08,6,Accessories,GPS,89.5
2022-04-17,6,Riders gears,Gloves,26.3
2022-05-27,6,Accessories,Pumps,36.3
2022-07-06,6,Riders gears,Helmets,150.1
2022-08-15,6,Riders gears,Jackets,47.2
2022-09-24,6,Accessories,Locks,34.3
2022-11-03,6,Bikes,Roads,2838.5
2022-12-13,6,Accessories,Locks,13.6
2023-01-22,6,Riders gears,Jackets,86.9
2019-08-12,7,Accessories,Locks,32.1
2019-11-05,7,Accessories,Locks,32.5
2020-01-29,7,Accessories,Locks,39.0
2020-04-23,7,Riders gears,Helmets,116.9
2020-07-17,7,Accessories,Locks,26.7
2020-10-10,7,Accessories,Pumps,48.0
2021-01-03,7,Accessories,Pumps,39.0
2021-03-29,7,Accessories,GPS,142.2
2021-06-22,7,Riders gears,Helmets,177.5
2021-09-15,7,Riders gears,Shoes,57.0
2021-12-09,7,Riders gears,Gloves,21.6
2022-03-04,7,Bikes,Roads,3165.0
2022-05-28,7,Accessories,Pumps,39.4
2022-08-21,7,Accessories,GPS,142.2
2022-11-14,7,Riders gears,Jackets,86.5
2023-02-07,7,Riders gears,Jackets,107.9
2020-04-02,8,Riders gears,Helmets,111.3
2021-06-12,9,Accessories,Pumps,44.0
2021-11-11,9,Riders gears,Jackets,33.7
2022-04-12,9,Riders gears,Shoes,91.4
2022-09-11,9,Accessories,Locks,46.3
2023-02-10,9,Accessories,Pumps,31.1
2020-07-05,10,Accessories,Pumps,39.8
2020-11-25,10,Riders gears,Gloves,29.1
2021-04-17,10,Riders gears,Gloves,29.2
2021-09-07,10,Bikes,Mountain Bikes,637.6
2022-01-28,10,Accessories,Locks,36.5
2022-06-20,10,Riders gears,Helmets,155.8
2022-11-10,10,Riders gears,Gloves,23.0
2021-01-25,11,Accessories,Pumps,44.6
2021-05-28,11,Accessories,Locks,36.8
2021-09-28,11,Accessories,Locks,41.2
2022-01-29,11,Riders gears,Jackets,45.6
2022-06-01,11,Accessories,Pumps,36.4
2022-10-02,11,Accessories,GPS,79.4
2023-02-02,11,Accessories,Locks,51.9
2020-07-16,12,Riders gears,Gloves,10.0
2020-10-10,12,Bikes,Mountain Bikes,595.9
